lower_desig,upper_desig,log_gf
1|2P3),a3P4p_y4D0*,-6.78126
1|2P3),a3P4p_y4D0*,-5.61693
2|3P2)2P,a3P4p_y4D0*,-5.38541
2|3P2)4P,a3P4p_y4D0*,-4.54385
2|3P2)4P,a3P4p_y4D0*,-5.13926
2|3F2)4F,a3P4p_y4D0*,-3.05728
3|4F3)4F,a3P4p_y4D0*,-3.37569
1|2D3),a3P4p_y4D0*,-5.28083
2|1D4)2D,a3P4p_y4D0*,-4.30335
1|2S5),a3P4p_y4D0*,-4.51028
2|3D4)2D,a3P4p_y4D0*,-4.53107
2|1S4)2S,a3P4p_y4D0*,-4.04121
2|3D4)4D,a3P4p_y4D0*,-3.46526
2|3D4)4D,a3P4p_y4D0*,-3.80846
2|3P4)2P,a3P4p_y4D0*,-3.95012
2|3P4)2P,a3P4p_y4D0*,-2.21783
1|4F3),a3P4p_y4D0*,-1.82967
1|2D5),a3P4p_y4D0*,-2.75762
2|3F4)4F,a3P4p_y4D0*,-1.33760
2|3P4)4P,a3P4p_y4D0*,-1.21765
2|3P4)4P,a3P4p_y4D0*,-.41565
1|4D5),a3P4p_y4D0*,-2.60377
1|4D5),a3P4p_y4D0*,-2.96637
1|4P3),a3P4p_y4D0*,-1.87161
1|4P3),a3P4p_y4D0*,-1.27535
2|5D4)4D,a3P4p_y4D0*,-3.41511
2|5D4)4D,a3P4p_y4D0*,-3.03851
2|5D4)6D,a3P4p_y4D0*,-6.99960
2|5D4)6D,a3P4p_y4D0*,-5.60052
1|2P3),a3P4p_y4D1*,-5.79225
2|3F2)2F,a3P4p_y4D1*,-6.54789
2|3P2)2P,a3P4p_y4D1*,-6.09222
2|3P2)2P,a3P4p_y4D1*,-5.86221
2|3P2)4P,a3P4p_y4D1*,-4.48033
2|3P2)4P,a3P4p_y4D1*,-4.28589
2|3P2)4P,a3P4p_y4D1*,-5.57366
2|3F2)4F,a3P4p_y4D1*,-2.83202
2|3F2)4F,a3P4p_y4D1*,-3.38342
3|4F3)4F,a3P4p_y4D1*,-3.21199
3|4F3)4F,a3P4p_y4D1*,-3.87559
2|1F4)2F,a3P4p_y4D1*,-5.60048
1|2D3),a3P4p_y4D1*,-5.83681
1|2D3),a3P4p_y4D1*,-5.27572
2|1D4)2D,a3P4p_y4D1*,-4.36817
2|1D4)2D,a3P4p_y4D1*,-6.55025
1|2S5),a3P4p_y4D1*,-4.53174
2|3D4)2D,a3P4p_y4D1*,-5.00175
2|3D4)2D,a3P4p_y4D1*,-4.65259
2|1S4)2S,a3P4p_y4D1*,-3.95850
1|2F5),a3P4p_y4D1*,-4.37224
2|3D4)4D,a3P4p_y4D1*,-3.45551
2|3D4)4D,a3P4p_y4D1*,-3.27549
2|3D4)4D,a3P4p_y4D1*,-3.69881
2|3F4)2F,a3P4p_y4D1*,-3.78654
2|3P4)2P,a3P4p_y4D1*,-2.77153
2|3P4)2P,a3P4p_y4D1*,-2.50001
2|3G4)4G,a3P4p_y4D1*,-3.04211
1|4F3),a3P4p_y4D1*,-1.65273
1|4F3),a3P4p_y4D1*,-2.19580
1|2F3),a3P4p_y4D1*,-2.61624
1|2D5),a3P4p_y4D1*,-3.28797
1|2D5),a3P4p_y4D1*,-2.24269
2|3F4)4F,a3P4p_y4D1*,-1.06767
2|3F4)4F,a3P4p_y4D1*,-1.73008
2|3P4)4P,a3P4p_y4D1*,-1.48564
2|3P4)4P,a3P4p_y4D1*,-.35080
2|3P4)4P,a3P4p_y4D1*,-.39270
1|4D5),a3P4p_y4D1*,-2.39915
1|4D5),a3P4p_y4D1*,-3.02960
1|4D5),a3P4p_y4D1*,-2.60797
1|4P3),a3P4p_y4D1*,-1.11108
1|4P3),a3P4p_y4D1*,-1.29771
1|4P3),a3P4p_y4D1*,-2.01375
1|4G5),a3P4p_y4D1*,-4.58081
2|5D4)4D,a3P4p_y4D1*,-3.46596
2|5D4)4D,a3P4p_y4D1*,-2.94488
2|5D4)4D,a3P4p_y4D1*,-2.89657
2|5D4)6D,a3P4p_y4D1*,-6.89770
2|5D4)6D,a3P4p_y4D1*,-6.33514
2|5D4)6D,a3P4p_y4D1*,-5.22223
1|6S5),a3P4p_y4D1*,-6.01546
1|2P3),a3P4p_y4D2*,-6.32694
2|3F2)2F,a3P4p_y4D2*,-6.29572
2|3F2)2F,a3P4p_y4D2*,-6.13940
2|3P2)2P,a3P4p_y4D2*,-6.27688
2|3P2)4P,a3P4p_y4D2*,-3.92898
2|3P2)4P,a3P4p_y4D2*,-4.19134
2|3F2)4F,a3P4p_y4D2*,-2.60837
2|3F2)4F,a3P4p_y4D2*,-3.20823
2|3F2)4F,a3P4p_y4D2*,-4.37871
3|4F3)4F,a3P4p_y4D2*,-3.15928
3|4F3)4F,a3P4p_y4D2*,-3.93818
3|4F3)4F,a3P4p_y4D2*,-5.49172
2|1F4)2F,a3P4p_y4D2*,-6.55667
2|1F4)2F,a3P4p_y4D2*,-5.05018
1|2D3),a3P4p_y4D2*,-5.62050
1|2D3),a3P4p_y4D2*,-5.14152
2|1D4)2D,a3P4p_y4D2*,-4.74091
2|1D4)2D,a3P4p_y4D2*,-5.51016
2|3D4)2D,a3P4p_y4D2*,-4.83820
2|3D4)2D,a3P4p_y4D2*,-4.16393
1|2F5),a3P4p_y4D2*,-4.09090
1|2F5),a3P4p_y4D2*,-4.94730
1|2F5),a3P4p_y4D2*,-5.30608
2|3G4)2G,a3P4p_y4D2*,-4.14044
2|3D4)4D,a3P4p_y4D2*,-3.22838
2|3D4)4D,a3P4p_y4D2*,-2.91435
2|3D4)4D,a3P4p_y4D2*,-3.75174
1|2G5),a3P4p_y4D2*,-4.56001
2|3F4)2F,a3P4p_y4D2*,-3.45840
2|3F4)2F,a3P4p_y4D2*,-3.45013
2|3P4)2P,a3P4p_y4D2*,-2.74462
2|3G4)4G,a3P4p_y4D2*,-2.67480
2|3G4)4G,a3P4p_y4D2*,-3.35837
1|4F3),a3P4p_y4D2*,-2.08239
1|4F3),a3P4p_y4D2*,-3.27654
1|4F3),a3P4p_y4D2*,-1.36947
1|2F3),a3P4p_y4D2*,-3.11897
1|2F3),a3P4p_y4D2*,-3.65419
1|2D5),a3P4p_y4D2*,-3.28944
1|2D5),a3P4p_y4D2*,-4.42359
2|3F4)4F,a3P4p_y4D2*,-.73608
2|3F4)4F,a3P4p_y4D2*,-1.48722
2|3F4)4F,a3P4p_y4D2*,-2.94306
2|3P4)4P,a3P4p_y4D2*,-.49949
2|3P4)4P,a3P4p_y4D2*,-.01643
2|3H4)4H,a3P4p_y4D2*,-3.80915
1|4D5),a3P4p_y4D2*,-2.61933
1|4D5),a3P4p_y4D2*,-2.37060
1|4D5),a3P4p_y4D2*,-2.39105
1|4P3),a3P4p_y4D2*,-.85583
1|4P3),a3P4p_y4D2*,-1.10967
1|4G5),a3P4p_y4D2*,-4.17111
1|4G5),a3P4p_y4D2*,-4.75630
2|5D4)4D,a3P4p_y4D2*,-3.71878
2|5D4)4D,a3P4p_y4D2*,-2.68459
2|5D4)4D,a3P4p_y4D2*,-2.63708
2|5D4)6D,a3P4p_y4D2*,-5.63694
2|5D4)6D,a3P4p_y4D2*,-5.89007
2|5D4)6D,a3P4p_y4D2*,-4.92153
1|6S5),a3P4p_y4D2*,-5.15547
2|1G2)2G,a3P4p_y4D3*,-6.62857
2|3F2)2F,a3P4p_y4D3*,-5.50733
2|3F2)2F,a3P4p_y4D3*,-5.52875
2|3P2)4P,a3P4p_y4D3*,-3.48840
2|3F2)4F,a3P4p_y4D3*,-3.21844
2|3F2)4F,a3P4p_y4D3*,-4.43055
2|3F2)4F,a3P4p_y4D3*,-2.38730
3|4F3)4F,a3P4p_y4D3*,-3.40637
3|4F3)4F,a3P4p_y4D3*,-4.60778
1|2G3),a3P4p_y4D3*,-5.53020
1|2G3),a3P4p_y4D3*,-5.00361
2|1F4)2F,a3P4p_y4D3*,-6.14162
1|2D3),a3P4p_y4D3*,-5.63702
2|1D4)2D,a3P4p_y4D3*,-4.16071
2|3D4)2D,a3P4p_y4D3*,-3.53195
1|2F5),a3P4p_y4D3*,-4.25242
2|1G4)2G,a3P4p_y4D3*,-3.72951
2|3G4)2G,a3P4p_y4D3*,-3.39567
2|3G4)2G,a3P4p_y4D3*,-3.80980
2|3D4)4D,a3P4p_y4D3*,-3.20585
2|3D4)4D,a3P4p_y4D3*,-2.47896
1|2G5),a3P4p_y4D3*,-3.90996
1|2G5),a3P4p_y4D3*,-3.88390
1|2H3),a3P4p_y4D3*,-3.51618
2|3F4)2F,a3P4p_y4D3*,-2.74624
2|3F4)2F,a3P4p_y4D3*,-2.96122
2|3H4)2H,a3P4p_y4D3*,-2.94919
2|3G4)4G,a3P4p_y4D3*,-2.60133
2|3G4)4G,a3P4p_y4D3*,-3.37244
2|3G4)4G,a3P4p_y4D3*,-3.80934
1|4F3),a3P4p_y4D3*,-3.46688
1|4F3),a3P4p_y4D3*,-1.10082
1|4F3),a3P4p_y4D3*,-2.07962
1|2F3),a3P4p_y4D3*,-3.98581
1|2F3),a3P4p_y4D3*,-3.48410
1|2D5),a3P4p_y4D3*,-2.01559
2|3F4)4F,a3P4p_y4D3*,-.43696
2|3F4)4F,a3P4p_y4D3*,-1.56383
2|3F4)4F,a3P4p_y4D3*,-3.72006
2|3P4)4P,a3P4p_y4D3*,.20025
2|3H4)4H,a3P4p_y4D3*,-3.10383
2|3H4)4H,a3P4p_y4D3*,-3.77723
1|4D5),a3P4p_y4D3*,-2.40534
1|4D5),a3P4p_y4D3*,-2.12746
1|4P3),a3P4p_y4D3*,-.49955
1|4G5),a3P4p_y4D3*,-3.89162
1|4G5),a3P4p_y4D3*,-5.42347
1|4G5),a3P4p_y4D3*,-6.20835
2|5D4)4D,a3P4p_y4D3*,-2.33982
2|5D4)4D,a3P4p_y4D3*,-2.55466
2|5D4)6D,a3P4p_y4D3*,-4.71511
2|5D4)6D,a3P4p_y4D3*,-5.11460
2|5D4)6D,a3P4p_y4D3*,-5.02037
1|6S5),a3P4p_y4D3*,-4.58507
1|2P3),a3F4p_z4G2*,-6.67538
2|3F2)2F,a3F4p_z4G2*,-5.02491
2|3F2)2F,a3F4p_z4G2*,-6.75677
2|3P2)4P,a3F4p_z4G2*,-6.95200
2|3F2)4F,a3F4p_z4G2*,-5.26808
2|3F2)4F,a3F4p_z4G2*,-3.46037
2|3F2)4F,a3F4p_z4G2*,-2.53142
3|4F3)4F,a3F4p_z4G2*,-5.47441
3|4F3)4F,a3F4p_z4G2*,-3.87252
3|4F3)4F,a3F4p_z4G2*,-2.88890
1|2G3),a3F4p_z4G2*,-5.47073
2|1F4)2F,a3F4p_z4G2*,-4.21474
2|1F4)2F,a3F4p_z4G2*,-5.99906
1|2D3),a3F4p_z4G2*,-4.13444
1|2D3),a3F4p_z4G2*,-5.88295
2|1D4)2D,a3F4p_z4G2*,-4.98227
2|1D4)2D,a3F4p_z4G2*,-4.38509
2|3D4)2D,a3F4p_z4G2*,-4.36534
2|3D4)2D,a3F4p_z4G2*,-4.52617
1|2F5),a3F4p_z4G2*,-4.27778
1|2F5),a3F4p_z4G2*,-4.04088
1|2F5),a3F4p_z4G2*,-5.69532
2|3G4)2G,a3F4p_z4G2*,-3.23027
2|3D4)4D,a3F4p_z4G2*,-4.64588
2|3D4)4D,a3F4p_z4G2*,-5.00816
2|3D4)4D,a3F4p_z4G2*,-6.23080
1|2G5),a3F4p_z4G2*,-3.15582
2|3F4)2F,a3F4p_z4G2*,-3.28803
2|3F4)2F,a3F4p_z4G2*,-2.67546
2|3P4)2P,a3F4p_z4G2*,-5.42390
2|3G4)4G,a3F4p_z4G2*,-1.56913
2|3G4)4G,a3F4p_z4G2*,-.70520
1|4F3),a3F4p_z4G2*,-1.41494
1|4F3),a3F4p_z4G2*,-1.06495
1|4F3),a3F4p_z4G2*,-2.37902
1|2F3),a3F4p_z4G2*,-2.16486
1|2F3),a3F4p_z4G2*,-4.55535
1|2D5),a3F4p_z4G2*,-1.25212
1|2D5),a3F4p_z4G2*,-1.77411
2|3F4)4F,a3F4p_z4G2*,-1.77713
2|3F4)4F,a3F4p_z4G2*,-.65889
2|3F4)4F,a3F4p_z4G2*,-.07075
2|3P4)4P,a3F4p_z4G2*,-4.75712
2|3P4)4P,a3F4p_z4G2*,-4.34710
2|3H4)4H,a3F4p_z4G2*,-.89348
1|4D5),a3F4p_z4G2*,-6.65374
1|4D5),a3F4p_z4G2*,-5.20506
1|4D5),a3F4p_z4G2*,-5.99502
1|4P3),a3F4p_z4G2*,-5.18773
1|4P3),a3F4p_z4G2*,-5.29422
1|4G5),a3F4p_z4G2*,-2.07972
1|4G5),a3F4p_z4G2*,-1.76866
2|5D4)4D,a3F4p_z4G2*,-5.37704
2|5D4)4D,a3F4p_z4G2*,-4.01645
2|5D4)4D,a3F4p_z4G2*,-3.60198
2|1G2)2G,a3F4p_z4G3*,-6.52253
2|3F2)2F,a3F4p_z4G3*,-3.24683
2|3F2)2F,a3F4p_z4G3*,-4.87595
2|3P2)4P,a3F4p_z4G3*,-6.31850
2|3F2)4F,a3F4p_z4G3*,-3.47652
2|3F2)4F,a3F4p_z4G3*,-2.44255
2|3F2)4F,a3F4p_z4G3*,-5.13895
3|4F3)4F,a3F4p_z4G3*,-3.99975
3|4F3)4F,a3F4p_z4G3*,-2.91327
1|2G3),a3F4p_z4G3*,-5.20261
1|2G3),a3F4p_z4G3*,-3.09050
2|1F4)2F,a3F4p_z4G3*,-4.65253
2|1F4)2F,a3F4p_z4G3*,-5.08123
1|2D3),a3F4p_z4G3*,-4.98653
2|1D4)2D,a3F4p_z4G3*,-6.36290
2|3D4)2D,a3F4p_z4G3*,-4.14123
1|2F5),a3F4p_z4G3*,-3.18626
2|1G4)2G,a3F4p_z4G3*,-3.42602
1|2F5),a3F4p_z4G3*,-4.08132
1|2F5),a3F4p_z4G3*,-3.12823
2|3G4)2G,a3F4p_z4G3*,-3.14818
2|3G4)2G,a3F4p_z4G3*,-1.84755
2|3D4)4D,a3F4p_z4G3*,-3.78286
2|3D4)4D,a3F4p_z4G3*,-4.56398
1|2G5),a3F4p_z4G3*,-2.65638
1|2G5),a3F4p_z4G3*,-1.83683
1|2H3),a3F4p_z4G3*,-1.23536
2|3F4)2F,a3F4p_z4G3*,-4.82480
2|3F4)2F,a3F4p_z4G3*,-.83201
2|3H4)2H,a3F4p_z4G3*,-.84719
2|3G4)4G,a3F4p_z4G3*,-1.70993
2|3G4)4G,a3F4p_z4G3*,-.71539
2|3G4)4G,a3F4p_z4G3*,-1.53501
1|4F3),a3F4p_z4G3*,-1.42476
1|4F3),a3F4p_z4G3*,-2.38749
1|4F3),a3F4p_z4G3*,-1.22249
1|2F3),a3F4p_z4G3*,-1.21514
1|2F3),a3F4p_z4G3*,-2.43057
1|2D5),a3F4p_z4G3*,-1.67284
2|3F4)4F,a3F4p_z4G3*,-1.81616
2|3F4)4F,a3F4p_z4G3*,-.52692
2|3F4)4F,a3F4p_z4G3*,-.05422
2|3P4)4P,a3F4p_z4G3*,-2.79552
2|3H4)4H,a3F4p_z4G3*,-.71050
2|3H4)4H,a3F4p_z4G3*,-2.57263
1|4D5),a3F4p_z4G3*,-4.51532
1|4D5),a3F4p_z4G3*,-5.90095
1|4P3),a3F4p_z4G3*,-5.28042
1|4G5),a3F4p_z4G3*,-1.76791
1|4G5),a3F4p_z4G3*,-1.76397
1|4G5),a3F4p_z4G3*,-2.04708
2|5D4)4D,a3F4p_z4G3*,-3.86113
2|5D4)4D,a3F4p_z4G3*,-3.04100
2|5D4)6D,a3F4p_z4G3*,-6.53830
2|5D4)6D,a3F4p_z4G3*,-6.34464
2|1G2)2G,a3F4p_z4G4*,-5.89193
2|1G2)2G,a3F4p_z4G4*,-6.35372
2|3F2)2F,a3F4p_z4G4*,-2.88392
2|3F2)4F,a3F4p_z4G4*,-2.40164
2|3F2)4F,a3F4p_z4G4*,-3.83714
3|4F3)4F,a3F4p_z4G4*,-4.65673
3|4F3)4F,a3F4p_z4G4*,-2.95951
1|2G3),a3F4p_z4G4*,-2.79560
1|2G3),a3F4p_z4G4*,-5.53709
2|1F4)2F,a3F4p_z4G4*,-5.02233
2|1I4)2I,a3F4p_z4G4*,-3.58999
1|2F5),a3F4p_z4G4*,-3.24292
2|1G4)2G,a3F4p_z4G4*,-2.17706
1|2F5),a3F4p_z4G4*,-5.53095
2|3G4)2G,a3F4p_z4G4*,-1.57807
2|3G4)2G,a3F4p_z4G4*,-4.80982
2|3D4)4D,a3F4p_z4G4*,-3.25482
1|2G5),a3F4p_z4G4*,-1.56311
1|2G5),a3F4p_z4G4*,-5.22510
1|2H3),a3F4p_z4G4*,-.85682
1|2H3),a3F4p_z4G4*,-2.11543
2|3F4)2F,a3F4p_z4G4*,-.46367
2|3H4)2H,a3F4p_z4G4*,-.57100
2|3H4)2H,a3F4p_z4G4*,-1.79911
2|3G4)4G,a3F4p_z4G4*,-2.75822
2|3G4)4G,a3F4p_z4G4*,-.65748
2|3G4)4G,a3F4p_z4G4*,-1.51679
1|4F3),a3F4p_z4G4*,-1.19709
1|4F3),a3F4p_z4G4*,-1.37308
1|2F3),a3F4p_z4G4*,-1.09983
2|3F4)4F,a3F4p_z4G4*,-.60602
2|3F4)4F,a3F4p_z4G4*,-.05342
2|3H4)4H,a3F4p_z4G4*,-.59608
2|3H4)4H,a3F4p_z4G4*,-3.74919
2|3H4)4H,a3F4p_z4G4*,-.98515
1|2I5),a3F4p_z4G4*,-2.74753
1|4D5),a3F4p_z4G4*,-3.66356
1|4G5),a3F4p_z4G4*,-1.58477
1|4G5),a3F4p_z4G4*,-1.98433
1|4G5),a3F4p_z4G4*,-1.58956
2|5D4)4D,a3F4p_z4G4*,-2.66596
2|5D4)6D,a3F4p_z4G4*,-6.20772
2|5D4)6D,a3F4p_z4G4*,-5.78359
2|1G2)2G,a3F4p_z4G5*,-5.81853
2|3F2)4F,a3F4p_z4G5*,-2.08736
3|4F3)4F,a3F4p_z4G5*,-2.59428
1|2G3),a3F4p_z4G5*,-3.90086
2|1I4)2I,a3F4p_z4G5*,-4.73980
2|1I4)2I,a3F4p_z4G5*,-3.83164
2|1G4)2G,a3F4p_z4G5*,-3.20343
2|3G4)2G,a3F4p_z4G5*,-3.75107
1|2G5),a3F4p_z4G5*,-3.55469
1|2H3),a3F4p_z4G5*,-2.34872
1|2H3),a3F4p_z4G5*,-4.68495
2|3H4)2H,a3F4p_z4G5*,-4.37165
2|3H4)2H,a3F4p_z4G5*,-2.84035
2|3G4)4G,a3F4p_z4G5*,-.24333
2|3G4)4G,a3F4p_z4G5*,-1.02793
1|4F3),a3F4p_z4G5*,-.80835
2|3F4)4F,a3F4p_z4G5*,.29103
2|3H4)4H,a3F4p_z4G5*,-.26006
2|3H4)4H,a3F4p_z4G5*,-3.36917
2|3H4)4H,a3F4p_z4G5*,-2.71173
1|2I5),a3F4p_z4G5*,-2.40759
1|2I5),a3F4p_z4G5*,-3.70045
1|4G5),a3F4p_z4G5*,-1.70798
1|4G5),a3F4p_z4G5*,-1.01174
2|5D4)6D,a3F4p_z4G5*,-4.67690
2|1G2)2G,a3F4p_z4G5*,-5.94342
2|1G2)2G,3H4p__z2G3*,-5.86619
2|3F2)2F,3H4p__z2G3*,-2.56659
2|3F2)2F,3H4p__z2G3*,-3.73711
2|3P2)4P,3H4p__z2G3*,-6.11269
2|3F2)4F,3H4p__z2G3*,-4.03246
2|3F2)4F,3H4p__z2G3*,-3.23932
2|3F2)4F,3H4p__z2G3*,-5.54213
3|4F3)4F,3H4p__z2G3*,-5.06302
3|4F3)4F,3H4p__z2G3*,-4.26628
3|4F3)4F,3H4p__z2G3*,-3.33926
1|2G3),3H4p__z2G3*,-5.44551
1|2G3),3H4p__z2G3*,-2.36339
2|1F4)2F,3H4p__z2G3*,-3.25112
2|1F4)2F,3H4p__z2G3*,-4.07101
1|2D3),3H4p__z2G3*,-4.16776
2|1D4)2D,3H4p__z2G3*,-3.72382
2|3D4)2D,3H4p__z2G3*,-2.96467
1|2F5),3H4p__z2G3*,-2.79569
2|1G4)2G,3H4p__z2G3*,-3.22373
1|2F5),3H4p__z2G3*,-4.88191
